epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_duration_sec,checkpoint_count,checkpoint_time_sec,checkpoint_size_mb
7,0.4020914137363434,80.625,0.7585213780403137,71.25,26.83694052696228,0,0.0,0.0
8,0.3960913419723511,80.0,0.7206128239631653,70.0,24.859087705612183,0,0.0,0.0
9,0.39107879996299744,82.5,0.7604944109916687,75.0,24.73827815055847,1,0.7388045787811279,46.36115741729736
10,0.3363438844680786,85.3125,0.7931186556816101,70.0,23.123730897903442,0,0.0,0.0
11,0.35925304889678955,82.5,0.7942941188812256,72.5,20.617103815078735,0,0.0,0.0
12,0.34247010946273804,81.875,0.8052930235862732,75.0,23.510725736618042,0,0.0,0.0
13,0.3366187810897827,83.75,0.9069418907165527,72.5,20.990437746047974,0,0.0,0.0
14,0.28850114345550537,87.8125,0.931408166885376,72.5,20.609760522842407,1,0.804896354675293,46.36115741729736
15,0.2903556227684021,86.25,0.8850240707397461,72.5,22.655304193496704,0,0.0,0.0
16,0.27020153403282166,87.5,0.9602540731430054,72.5,20.58417558670044,0,0.0,0.0
17,0.2445223331451416,87.8125,1.008446216583252,71.25,20.57177209854126,0,0.0,0.0
18,0.24538740515708923,90.0,1.0582138299942017,68.75,20.551494121551514,0,0.0,0.0
19,0.2296457588672638,90.625,1.050713062286377,70.0,20.591733694076538,1,0.6658306121826172,46.36115741729736
